sample_id,split,aoi,height,width,n_ignore,has_change_mask,pct_Other,pct_Water,pct_Urban,pct_Forest,pct_Agriculture,pct_Barren
abudhabi_t1,train,abudhabi,799,785,151321,True,11.23,0.02,87.2,0.02,1.44,0.09
abudhabi_t2,train,abudhabi,799,785,151321,True,11.77,0.02,86.6,0.04,1.5,0.08
aguasclaras_t1,train,aguasclaras,471,525,64225,True,5.94,0.03,53.26,7.78,32.07,0.92
aguasclaras_t2,train,aguasclaras,471,525,64225,True,6.0,0.03,53.2,7.76,31.99,1.02
beihai_t1,train,beihai,902,772,294365,True,7.17,2.3,7.34,23.81,59.22,0.17
beihai_t2,train,beihai,902,772,294365,True,7.56,2.5,6.99,23.59,58.98,0.38
beirut_t1,train,beirut,1180,1070,262259,True,18.53,33.12,30.29,1.05,16.92,0.1
beirut_t2,train,beirut,1180,1070,262259,True,18.74,32.57,31.21,0.97,16.39,0.12
bercy_t1,train,bercy,395,360,94571,True,63.48,9.3,11.97,0.14,15.11,0.0
bercy_t2,train,bercy,395,360,94571,True,63.57,8.64,12.43,0.14,15.21,0.01
brasilia_t1,train,brasilia,433,469,50567,True,5.23,13.48,32.58,6.31,41.17,1.24
brasilia_t2,train,brasilia,433,469,50567,True,5.45,13.48,33.7,6.26,40.05,1.07
chongqing_t1,train,chongqing,730,544,90285,True,18.99,0.57,8.0,24.74,47.61,0.09
chongqing_t2,train,chongqing,730,544,90285,True,20.99,0.54,8.09,23.65,46.63,0.11
cupertino_t1,train,cupertino,1015,788,236954,True,36.43,0.09,13.67,4.84,44.93,0.05
cupertino_t2,train,cupertino,1015,788,236954,True,36.42,0.16,13.1,5.0,45.26,0.04
dubai_t1,train,dubai,774,634,81865,True,17.79,0.07,74.05,1.05,7.02,0.03
dubai_t2,train,dubai,774,634,81865,True,19.91,0.23,71.46,1.13,7.25,0.02
hongkong_t1,train,hongkong,695,540,91441,True,9.53,31.64,6.16,33.45,19.2,0.01
hongkong_t2,train,hongkong,695,540,91441,True,10.01,31.55,7.09,32.72,18.62,0.02
lasvegas_t1,train,lasvegas,824,716,70419,True,30.94,0.02,66.14,0.33,2.3,0.28
lasvegas_t2,train,lasvegas,824,716,70419,True,33.7,0.05,63.61,0.1,2.35,0.19
milano_t1,train,milano,545,558,84044,True,31.49,18.56,23.68,1.08,25.15,0.03
milano_t2,train,milano,545,558,84044,True,31.58,18.5,23.72,1.09,25.08,0.03
mumbai_t1,train,mumbai,858,557,139876,True,16.15,1.46,22.69,16.26,43.43,0.01
mumbai_t2,train,mumbai,858,557,139876,True,16.46,1.42,23.72,15.83,42.55,0.01
norcia_t1,train,norcia,241,385,39749,True,1.47,0.0,4.25,43.14,50.97,0.17
norcia_t2,train,norcia,241,385,39749,True,2.16,0.0,4.73,42.97,50.01,0.14
paris_t1,train,paris,408,390,68383,True,40.82,26.53,10.97,1.18,20.5,0.01
paris_t2,train,paris,408,390,68383,True,40.87,26.49,11.01,1.13,20.49,0.01
rennes_t1,train,rennes,339,563,42753,True,11.15,0.54,19.83,24.01,44.45,0.02
rennes_t2,train,rennes,339,563,42753,True,11.56,0.52,19.65,24.15,44.11,0.02
rio_t1,train,rio,353,426,40583,True,9.45,2.86,31.92,24.25,31.42,0.09
rio_t2,train,rio,353,426,40583,True,9.82,2.79,31.43,23.6,32.29,0.08
saclay_e_t1,train,saclay_e,639,688,258609,True,6.04,0.0,3.43,15.24,75.27,0.02
saclay_e_t2,train,saclay_e,639,688,258609,True,6.23,0.0,3.17,15.06,75.53,0.01
saclay_w_t1,train,saclay_w,639,688,264804,True,4.16,0.07,7.13,20.16,68.44,0.04
saclay_w_t2,train,saclay_w,639,688,264804,True,3.85,0.07,6.86,20.46,68.75,0.02
bordeaux_t1,test,bordeaux,517,461,84201,True,7.38,8.48,48.75,7.09,28.14,0.15
bordeaux_t2,test,bordeaux,517,461,84201,True,7.4,8.57,48.74,7.07,28.07,0.15
montpellier_t1,test,montpellier,426,451,58200,True,13.28,0.42,27.29,5.75,52.69,0.57
montpellier_t2,test,montpellier,426,451,58200,True,15.1,0.51,25.76,5.7,52.52,0.41
nantes_t1,test,nantes,522,582,110561,True,13.79,10.4,18.81,14.77,42.17,0.05
nantes_t2,test,nantes,522,582,110561,True,14.13,10.44,18.37,14.76,42.27,0.03
pisa_t1,test,pisa,776,718,277208,True,8.98,2.14,13.55,17.04,58.23,0.05
pisa_t2,test,pisa,776,718,277208,True,9.07,2.16,13.1,17.25,58.41,0.01
valencia_t1,test,valencia,458,476,113200,True,13.9,0.01,51.56,1.6,32.77,0.16
valencia_t2,test,valencia,458,476,113200,True,14.04,0.03,51.35,1.63,32.82,0.14
