sample_id,height,width,pixel_acc,miou
bordeaux_t1,517,461,0.617453437779279,0.5110211369247696
bordeaux_t2,517,461,0.5708891191883761,0.4058328148322176
montpellier_t1,426,451,0.7110958433527997,0.4799891201482098
montpellier_t2,426,451,0.7228329325546776,0.4556650747253382
nantes_t1,522,582,0.6827691537965267,0.47064005907914375
nantes_t2,522,582,0.7662901080960093,0.501398666908799
pisa_t1,776,718,0.791150963443701,0.5588840180819051
pisa_t2,776,718,0.8354069149699911,0.5508503874750132
valencia_t1,458,476,0.4823722065245312,0.3820835929306366
valencia_t2,458,476,0.6611867454405342,0.47826384519253
