sample_id,height,width,pixel_acc,miou
bordeaux_t1,517,461,0.6144954413288747,0.5378208928218863
bordeaux_t2,517,461,0.5971208834549399,0.4102013887995007
montpellier_t1,426,451,0.6390858082716551,0.4884395093916323
montpellier_t2,426,451,0.6779353132839907,0.48861063471902955
nantes_t1,522,582,0.68388500480573,0.4746694454151767
nantes_t2,522,582,0.759729957472581,0.5026775231854352
pisa_t1,776,718,0.6821407546736352,0.5204941850875883
pisa_t2,776,718,0.7677558653763318,0.5358949304492334
valencia_t1,458,476,0.46166195735936294,0.3414527744515797
valencia_t2,458,476,0.554823676195369,0.44337733310224786
