sample_id,aoi,timepoint,height,width,pct_Other/Unclassified,pct_Water,pct_Urban,pct_Forest,pct_Agriculture,pct_Barren land
abudhabi_t1,abudhabi,1,799,785,20.89,0.07,75.76,0.09,2.68,0.5
abudhabi_t2,abudhabi,2,799,785,19.22,0.02,77.72,0.06,2.02,0.96
aguasclaras_t1,aguasclaras,1,471,525,9.38,0.13,37.07,8.47,34.68,10.28
aguasclaras_t2,aguasclaras,2,471,525,9.41,0.03,41.83,6.68,29.16,12.9
beihai_t1,beihai,1,902,772,10.32,2.12,5.09,22.47,58.65,1.35
beihai_t2,beihai,2,902,772,10.26,2.44,10.21,20.0,44.56,12.53
beirut_t1,beirut,1,1180,1070,22.37,26.38,30.07,2.17,17.88,1.13
beirut_t2,beirut,2,1180,1070,25.01,26.4,30.27,1.01,16.44,0.87
bercy_t1,bercy,1,395,360,38.6,45.97,8.75,0.09,6.58,0.01
bercy_t2,bercy,2,395,360,47.12,2.91,22.89,1.71,25.32,0.05
brasilia_t1,brasilia,1,433,469,8.88,10.26,23.16,7.16,41.38,9.16
brasilia_t2,brasilia,2,433,469,9.71,10.2,26.86,6.8,36.62,9.81
chongqing_t1,chongqing,1,730,544,21.67,0.55,7.48,21.41,48.76,0.12
chongqing_t2,chongqing,2,730,544,22.17,0.65,7.25,27.22,42.48,0.24
cupertino_t1,cupertino,1,1015,788,38.47,0.16,14.48,4.45,42.19,0.25
cupertino_t2,cupertino,2,1015,788,37.03,0.16,12.2,7.39,43.04,0.17
dubai_t1,dubai,1,774,634,20.47,0.09,69.44,1.21,8.56,0.23
dubai_t2,dubai,2,774,634,26.32,0.22,63.41,1.69,8.16,0.19
hongkong_t1,hongkong,1,695,540,12.91,24.52,6.84,35.11,20.56,0.06
hongkong_t2,hongkong,2,695,540,15.43,24.25,8.89,25.75,25.6,0.08
lasvegas_t1,lasvegas,1,824,716,31.89,0.04,64.09,0.34,2.78,0.86
lasvegas_t2,lasvegas,2,824,716,36.3,0.13,59.05,0.12,3.55,0.85
milano_t1,milano,1,545,558,32.49,22.23,19.91,2.66,22.66,0.05
milano_t2,milano,2,545,558,34.69,14.49,26.91,0.96,22.85,0.1
mumbai_t1,mumbai,1,858,557,21.1,1.57,16.85,19.91,40.47,0.1
mumbai_t2,mumbai,2,858,557,20.26,1.33,22.95,14.09,41.19,0.19
norcia_t1,norcia,1,241,385,2.16,0.0,2.57,31.65,58.62,4.99
norcia_t2,norcia,2,241,385,5.0,0.0,8.97,43.86,35.82,6.35
paris_t1,paris,1,408,390,39.41,34.42,10.84,0.8,14.51,0.01
paris_t2,paris,2,408,390,39.34,16.52,14.28,2.7,27.13,0.02
rennes_t1,rennes,1,339,563,16.58,1.25,20.48,21.63,39.58,0.49
rennes_t2,rennes,2,339,563,18.17,0.4,14.4,22.33,44.31,0.39
rio_t1,rio,1,353,426,14.28,6.98,25.59,23.92,28.25,1.0
rio_t2,rio,2,353,426,13.71,2.13,25.86,19.17,37.65,1.48
saclay_e_t1,saclay_e,1,639,688,13.0,0.33,8.22,18.52,59.72,0.22
saclay_e_t2,saclay_e,2,639,688,9.73,0.0,2.06,33.61,53.39,1.21
saclay_w_t1,saclay_w,1,639,688,9.86,0.38,9.89,22.16,57.38,0.34
saclay_w_t2,saclay_w,2,639,688,8.12,0.05,1.86,36.12,46.56,7.29
